#,prjId,Period,Time,StartDate,EndDate,forks,members,commits,issues,watchers,pullReq,CmtCmnt,pullReqCmnt,PR Issue Cmnt,issueCmnt,committers,MemCommitters,PRClosedCnt,IssueClosedCnt,PRClosedTime,IssueClosedTime,Health,Licence,ContribFile,MemIssue,NonMemIssue,OwnerFollower,AvgFollower,OwnerType,MemCommit
549,120098,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,16,5,242,49,101,35,0,0,6,91,8,4,23,49,2051.165942,27388.71293,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,5,15,0,3,USR,4
550,120098,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,24,7,335,73,125,74,0,0,17,127,10,5,38,69,2151.913158,34120.97995,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,6,19,0,5,USR,5
551,120098,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,29,7,397,83,131,80,0,0,23,158,11,5,42,80,7519.051984,33414.84479,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,6,21,0,5,USR,5
552,120098,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,31,7,431,90,138,80,0,0,23,195,11,5,42,87,7519.051984,40379.89234,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,6,22,0,5,USR,5
553,121353,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,1,10,6,1,9,3,0,0,0,0,2,1,2,0,1582.066667,,33,,,0,0,16,16,ORG,1
554,121353,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,2,10,7,2,11,4,0,0,0,0,3,1,2,0,1582.066667,,33,,,0,0,16,17,ORG,1
555,121353,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,5,10,24,6,11,18,0,0,0,0,6,1,12,0,3937.733333,,33,,,0,0,17,17,ORG,1
556,121353,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,5,10,27,6,11,18,0,0,0,0,6,1,12,0,3937.733333,,33,,,0,0,17,17,ORG,1
557,121353,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,7,10,35,7,11,21,0,0,4,4,8,2,14,0,3380.72619,,33,,,0,0,17,18,ORG,2
558,121353,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,9,10,40,10,11,28,0,0,6,6,9,2,18,0,2735.772222,,33,,,0,0,18,18,ORG,2
559,121353,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,11,10,54,11,13,29,0,0,6,6,9,2,18,0,2735.772222,,33,,,0,0,18,19,ORG,2
560,121353,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,14,10,65,14,14,39,0,0,8,8,12,3,25,0,14396.18533,,33,,,0,0,19,20,ORG,3
561,121569,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,5,55,0,8,0,0,0,0,0,3,1,0,0,,,33,,,0,0,4,4,ORG,1
562,121569,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,6,70,0,11,0,0,0,0,0,3,1,0,0,,,33,,,0,0,4,5,ORG,1
563,121569,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,6,90,0,13,0,0,0,0,0,3,1,0,0,,,33,,,0,0,4,5,ORG,1
564,121569,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,2,6,124,4,16,9,0,0,0,0,5,2,6,6,28.28333333,28.28611111,33,,,1,1,5,5,ORG,2
565,121569,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,2,6,149,4,20,9,0,0,0,0,6,3,6,6,28.28333333,28.28611111,33,,,1,1,6,6,ORG,3
566,121569,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,2,6,157,5,24,9,0,0,0,0,6,3,6,6,28.28333333,28.28611111,33,,,1,1,7,7,ORG,3
567,121569,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,2,6,172,9,26,9,2,0,0,2,6,3,6,8,28.28333333,16941.7,33,,,1,2,8,8,ORG,3
568,121569,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,6,6,174,11,35,15,2,0,0,2,6,3,10,8,112.7,16941.7,33,,,1,2,8,9,ORG,3
569,122385,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,5,4,118,7,28,16,0,0,5,5,5,3,9,0,939.7592593,,33,,,3,1,13,14,ORG,3
